,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
0,1,2011-01-01,1,0,1,0,6,0,2.0,0.344167,0.363625,0.805833,0.160446,331.0,654.0,985.0,11.546751826917545
1,2,2011-01-02,1,0,1,0,0,0,2.0,0.363478,0.353739,0.696087,0.248539,131.0,670.0,801.0,11.546751826917545
2,3,2011-01-03,1,0,1,0,1,1,1.0,0.196364,0.189405,0.437273,0.248309,120.0,1229.0,1349.0,11.546751826917545
3,4,2011-01-04,1,0,1,0,2,1,1.0,0.2,0.212122,0.590435,0.160296,108.0,1454.0,1562.0,11.546751826917545
4,5,2011-01-05,1,0,1,0,3,1,1.0,0.226957,0.22927,0.436957,0.1869,82.0,1518.0,1600.0,11.546751826917545
5,6,2011-01-06,1,0,1,0,4,1,1.0,0.204348,0.233209,0.518261,0.0895652,88.0,1518.0,1606.0,11.546751826917545
6,7,2011-01-07,1,0,1,0,5,1,2.0,0.196522,0.208839,0.498696,0.168726,148.0,1362.0,1510.0,11.546751826917545
7,8,2011-01-08,1,0,1,0,6,0,2.0,0.165,0.162254,0.535833,0.266804,68.0,891.0,959.0,11.546751826917545
8,9,2011-01-09,1,0,1,0,0,0,1.0,0.138333,0.116175,0.434167,0.36195,54.0,768.0,822.0,11.546751826917545
9,10,2011-01-10,1,0,1,0,1,1,1.0,0.150833,0.150888,0.482917,0.223267,41.0,1280.0,1321.0,11.546751826917545
10,11,2011-01-11,1,0,1,0,2,1,2.0,0.169091,0.191464,0.686364,0.122132,43.0,1220.0,1263.0,11.546751826917545
11,12,2011-01-12,1,0,1,0,3,1,1.0,0.172727,0.160473,0.599545,0.304627,25.0,1137.0,1162.0,11.546751826917545
12,13,2011-01-13,1,0,1,0,4,1,1.0,0.165,0.150883,0.470417,0.301,38.0,1368.0,1406.0,11.546751826917545
13,14,2011-01-14,1,0,1,0,5,1,1.0,0.16087,0.188413,0.537826,0.126548,54.0,1367.0,1421.0,11.546751826917545
14,15,2011-01-15,1,0,1,0,6,0,2.0,0.233333,0.248112,0.49875,0.157963,222.0,1026.0,1248.0,11.546751826917545
15,16,2011-01-16,1,0,1,0,0,0,1.0,0.231667,0.234217,0.48375,0.188433,251.0,953.0,1204.0,11.546751826917545
16,17,2011-01-17,1,0,1,1,1,0,2.0,0.175833,0.176771,0.5375,0.194017,117.0,883.0,1000.0,11.546751826917545
17,18,2011-01-18,1,0,1,0,2,1,2.0,0.216667,0.232333,0.861667,0.146775,9.0,674.0,683.0,11.546751826917545
18,19,2011-01-19,1,0,1,0,3,1,2.0,0.292174,0.298422,0.741739,0.208317,78.0,1572.0,1650.0,11.546751826917545
19,20,2011-01-20,1,0,1,0,4,1,2.0,0.261667,0.25505,0.538333,0.195904,83.0,1844.0,1927.0,11.546751826917545
20,21,2011-01-21,1,0,1,0,5,1,1.0,0.1775,0.157833,0.457083,0.353242,75.0,1468.0,1543.0,11.546751826917545
21,22,2011-01-22,1,0,1,0,6,0,1.0,0.0591304,0.0790696,0.4,0.17197,93.0,888.0,981.0,11.546751826917545
22,23,2011-01-23,1,0,1,0,0,0,1.0,0.0965217,0.0988391,0.436522,0.2466,150.0,836.0,986.0,11.546751826917545
23,24,2011-01-24,1,0,1,0,1,1,1.0,0.0973913,0.11793,0.491739,0.15833,86.0,1330.0,1416.0,11.546751826917545
24,25,2011-01-25,1,0,1,0,2,1,2.0,0.223478,0.234526,0.616957,0.129796,186.0,1799.0,1985.0,11.546751826917545
25,26,2011-01-26,1,0,1,0,3,1,3.0,0.2175,0.2036,0.8625,0.29385,34.0,472.0,506.0,11.546751826917545
26,27,2011-01-27,1,0,1,0,4,1,1.0,0.195,0.2197,0.6875,0.113837,15.0,416.0,431.0,11.546751826917545
27,28,2011-01-28,1,0,1,0,5,1,2.0,0.203478,0.223317,0.793043,0.1233,38.0,1129.0,1167.0,11.546751826917545
28,29,2011-01-29,1,0,1,0,6,0,1.0,0.196522,0.212126,0.651739,0.145365,123.0,975.0,1098.0,11.546751826917545
29,30,2011-01-30,1,0,1,0,0,0,1.0,0.216522,0.250322,0.722174,0.0739826,140.0,956.0,1096.0,11.546751826917545
30,31,2011-01-31,1,0,1,0,1,1,2.0,0.180833,0.18625,0.60375,0.187192,42.0,1459.0,1501.0,11.546751826917545
31,32,2011-02-01,1,0,2,0,2,1,2.0,0.192174,0.23453,0.829565,0.053213,47.0,1313.0,1360.0,11.546751826917545
32,33,2011-02-02,1,0,2,0,3,1,2.0,0.26,0.254417,0.775417,0.264308,72.0,1454.0,1526.0,11.546751826917545
33,34,2011-02-03,1,0,2,0,4,1,1.0,0.186957,0.177878,0.437826,0.277752,61.0,1489.0,1550.0,11.546751826917545
34,35,2011-02-04,1,0,2,0,5,1,2.0,0.211304,0.228587,0.585217,0.127839,88.0,1620.0,1708.0,11.546751826917545
35,36,2011-02-05,1,0,2,0,6,0,2.0,0.233333,0.243058,0.929167,0.161079,100.0,905.0,1005.0,11.546751826917545
36,37,2011-02-06,1,0,2,0,0,0,1.0,0.285833,0.291671,0.568333,0.1418,354.0,1269.0,1623.0,11.546751826917545
37,38,2011-02-07,1,0,2,0,1,1,1.0,0.271667,0.303658,0.738333,0.0454083,120.0,1592.0,1712.0,11.546751826917545
